task;learner;optimizer;constants;expression;surrogate_score
3561;xgboost;optimistic_random_search_16;False;100 replications;0.9962826966923914
3561;xgboost;optimistic_random_search_32;False;100 replications;0.9967005812464984
9971;svm;optimistic_random_search_2;False;100 replications;0.7000448343730116
9971;svm;optimistic_random_search_4;False;100 replications;0.7335672951439842
9971;svm;optimistic_random_search_8;False;100 replications;0.7662965078482727
9971;svm;optimistic_random_search_16;False;100 replications;0.7856653407086647
9971;svm;optimistic_random_search_32;False;100 replications;0.8018732977088299
3560;svm;optimistic_random_search_2;False;100 replications;0.6014986218337888
3560;svm;optimistic_random_search_4;False;100 replications;0.7168880962960192
3560;svm;optimistic_random_search_8;False;100 replications;0.8727031769011137
3560;svm;optimistic_random_search_16;False;100 replications;0.9021762471484197
3560;svm;optimistic_random_search_32;False;100 replications;0.9176417397842478
14952;glmnet;optimistic_random_search_2;False;100 replications;0.6222700521784259
14952;glmnet;optimistic_random_search_4;False;100 replications;0.8611550099283529
14952;glmnet;optimistic_random_search_8;False;100 replications;0.9842523200778881
14952;glmnet;optimistic_random_search_16;False;100 replications;0.9964926523425826
14952;glmnet;optimistic_random_search_32;False;100 replications;0.998960924833909
168910;rpart;optimistic_random_search_2;False;100 replications;0.4957414191278773
168910;rpart;optimistic_random_search_4;False;100 replications;0.6368995674537471
168910;rpart;optimistic_random_search_8;False;100 replications;0.7505372591312398
168910;rpart;optimistic_random_search_16;False;100 replications;0.8425539573212443
168910;rpart;optimistic_random_search_32;False;100 replications;0.8784994232544507
43;xgboost;optimistic_random_search_2;False;100 replications;0.9808873426784781
43;xgboost;optimistic_random_search_4;False;100 replications;0.9883962750794437
43;xgboost;optimistic_random_search_8;False;100 replications;0.9954103868324998
43;xgboost;optimistic_random_search_16;False;100 replications;0.9962546698127664
43;xgboost;optimistic_random_search_32;False;100 replications;0.9976270564322093
168332;rpart;optimistic_random_search_2;False;100 replications;0.991168508279994
168332;rpart;optimistic_random_search_4;False;100 replications;0.9955356445543627
168332;rpart;optimistic_random_search_8;False;100 replications;0.9979023512873888
168332;rpart;optimistic_random_search_16;False;100 replications;0.9990648243600984
168332;rpart;optimistic_random_search_32;False;100 replications;0.999285282835055
9971;rpart;optimistic_random_search_2;False;100 replications;0.9860125390548329
9971;rpart;optimistic_random_search_4;False;100 replications;0.9911819111218437
9971;rpart;optimistic_random_search_8;False;100 replications;0.9964823697066997
9971;rpart;optimistic_random_search_16;False;100 replications;0.9987915490754632
9971;rpart;optimistic_random_search_32;False;100 replications;0.9995846347157538
167140;glmnet;optimistic_random_search_2;False;100 replications;0.6628400620547938
167140;glmnet;optimistic_random_search_4;False;100 replications;0.8153034893855627
167140;glmnet;optimistic_random_search_8;False;100 replications;0.9542443789211558
167140;glmnet;optimistic_random_search_16;False;100 replications;0.9871345394343275
167140;glmnet;optimistic_random_search_32;False;100 replications;0.9947294071703066
2074;rf;optimistic_random_search_2;False;100 replications;0.9377569459064301
2074;rf;optimistic_random_search_4;False;100 replications;0.9577398423364152
2074;rf;optimistic_random_search_8;False;100 replications;0.9702765050125021
2074;rf;optimistic_random_search_16;False;100 replications;0.9790422247372998
2074;rf;optimistic_random_search_32;False;100 replications;0.9834460571363154
167120;xgboost;optimistic_random_search_2;False;100 replications;0.999804496573081
167120;xgboost;optimistic_random_search_4;False;100 replications;0.9999516410428663
167120;xgboost;optimistic_random_search_8;False;100 replications;0.999972124532864
167120;xgboost;optimistic_random_search_16;False;100 replications;0.9999822916209363
167120;xgboost;optimistic_random_search_32;False;100 replications;0.9999879687230963
168338;glmnet;optimistic_random_search_2;False;100 replications;0.3677414534293066
168338;glmnet;optimistic_random_search_4;False;100 replications;0.6014282015942531
168338;glmnet;optimistic_random_search_8;False;100 replications;0.754818294356478
168338;glmnet;optimistic_random_search_16;False;100 replications;0.9306351308225319
168338;glmnet;optimistic_random_search_32;False;100 replications;0.9655268013737891
6;glmnet;optimistic_random_search_2;False;100 replications;0.37036126996993635
6;glmnet;optimistic_random_search_4;False;100 replications;0.6407972283819267
6;glmnet;optimistic_random_search_8;False;100 replications;0.8460421446533022
6;glmnet;optimistic_random_search_16;False;100 replications;0.9184209625978866
6;glmnet;optimistic_random_search_32;False;100 replications;0.9750563273538269
41;glmnet;optimistic_random_search_2;False;100 replications;0.5561953040033537
41;glmnet;optimistic_random_search_4;False;100 replications;0.82305279329168
41;glmnet;optimistic_random_search_8;False;100 replications;0.9507301897362643
41;glmnet;optimistic_random_search_16;False;100 replications;0.995529671062009
41;glmnet;optimistic_random_search_32;False;100 replications;0.9987992103680314
168337;glmnet;optimistic_random_search_2;False;100 replications;0.4599978335518582
168337;glmnet;optimistic_random_search_4;False;100 replications;0.7573370348117437
168337;glmnet;optimistic_random_search_8;False;100 replications;0.8790829403071583
168337;glmnet;optimistic_random_search_16;False;100 replications;0.9608731049014945
168337;glmnet;optimistic_random_search_32;False;100 replications;0.9885176937529482
3893;glmnet;optimistic_random_search_2;False;100 replications;0.5343626822552803
3893;glmnet;optimistic_random_search_4;False;100 replications;0.8189748833314248
3893;glmnet;optimistic_random_search_8;False;100 replications;0.9464570243495148
3893;glmnet;optimistic_random_search_16;False;100 replications;0.9862357147684507
3893;glmnet;optimistic_random_search_32;False;100 replications;0.9950559556985438
10090;rf;optimistic_random_search_2;False;100 replications;0.9437233434883785
10090;rf;optimistic_random_search_4;False;100 replications;0.964323321404201
10090;rf;optimistic_random_search_8;False;100 replications;0.972612063106844
10090;rf;optimistic_random_search_16;False;100 replications;0.9779980532883172
10090;rf;optimistic_random_search_32;False;100 replications;0.9851152061222299
125922;svm;optimistic_random_search_2;False;100 replications;0.7880947808250858
125922;svm;optimistic_random_search_4;False;100 replications;0.9804394505860398
125922;svm;optimistic_random_search_8;False;100 replications;0.9954719678144968
125922;svm;optimistic_random_search_16;False;100 replications;0.9984481650915902
125922;svm;optimistic_random_search_32;False;100 replications;0.9988222971827928
3945;xgboost;optimistic_random_search_2;False;100 replications;0.9668522990881074
3945;xgboost;optimistic_random_search_4;False;100 replications;0.990971035959213
3945;xgboost;optimistic_random_search_8;False;100 replications;0.9970449966899341
3945;xgboost;optimistic_random_search_16;False;100 replications;0.9988887240028216
3945;xgboost;optimistic_random_search_32;False;100 replications;0.9993237042002917
146819;knn;optimistic_random_search_2;False;100 replications;0.9901325372400575
146819;knn;optimistic_random_search_4;False;100 replications;0.994138324003623
146819;knn;optimistic_random_search_8;False;100 replications;0.997457182672857
146819;knn;optimistic_random_search_16;False;100 replications;0.9987563389910821
146819;knn;optimistic_random_search_32;False;100 replications;0.9996495005953169
9960;glmnet;optimistic_random_search_2;False;100 replications;0.5462235087949828
9960;glmnet;optimistic_random_search_4;False;100 replications;0.7910380429627359
9960;glmnet;optimistic_random_search_8;False;100 replications;0.9024895593229071
9960;glmnet;optimistic_random_search_16;False;100 replications;0.9718517024449127
9960;glmnet;optimistic_random_search_32;False;100 replications;0.9905293764787763
32;knn;optimistic_random_search_2;False;100 replications;0.96017842310649
32;knn;optimistic_random_search_4;False;100 replications;0.9926749933967035
32;knn;optimistic_random_search_8;False;100 replications;0.9967987346289113
32;knn;optimistic_random_search_16;False;100 replications;0.9994956941211225
32;knn;optimistic_random_search_32;False;100 replications;0.9996595089387545
3;rf;optimistic_random_search_2;False;100 replications;0.7762705197504661
3;rf;optimistic_random_search_4;False;100 replications;0.9101499927448041
3;rf;optimistic_random_search_8;False;100 replications;0.9361734867281984
3;rf;optimistic_random_search_16;False;100 replications;0.9603552913606711
3;rf;optimistic_random_search_32;False;100 replications;0.9739396576618082
3512;glmnet;optimistic_random_search_2;False;100 replications;0.6012424300637346
3512;glmnet;optimistic_random_search_4;False;100 replications;0.8339422217061238
