endresult;expression;gen;inout;length;problem;run;score;search;task
1.0;make_tuple(0.0952495893980707, 0.13727914341855846, 0.02427975766712515, 0.4873748750200173, 0.9944689556468675, n, mcp, n, po);2.0;in;1.0;xgboost;a8546f51-e473-42e4-aa6c-0f13caee5706;0.9499;random_search_3000;146195.0
1.0;make_tuple(0.0952495893980707, 0.13727914341855846, 0.02427975766712515, 0.4873748750200173, 0.9944689556468675, n, mcp, n, po);2.0;out;1.0;xgboost;a8546f51-e473-42e4-aa6c-0f13caee5706;0.966;random_search_3000;146195.0
1.0;make_tuple(0.11968858910895991, mcp, mcp, 0.0010047910672664254, m, po, xvar, 115, mcp);2.0;in;1.0;xgboost;328eae26-4a92-404e-9145-471e53b95d8b;0.9522;random_search_3000;24.0
1.0;make_tuple(0.11968858910895991, mcp, mcp, 0.0010047910672664254, m, po, xvar, 115, mcp);2.0;out;1.0;xgboost;328eae26-4a92-404e-9145-471e53b95d8b;0.9999;random_search_3000;24.0
1.0;make_tuple(max(0.029633229473355067, mkd), min(mkd, n), add(0.0009855376971721376, rc), max(0.00814727217617135, xvar), min(n, p), truediv(n, mcp), expit(p), add(n, 802), expit(mcp));2.0;in;10.0;xgboost;7340e2b9-8493-430a-a900-5385244f7c6e;0.9523;random_search_3000;10090.0
1.0;make_tuple(max(0.029633229473355067, mkd), min(mkd, n), add(0.0009855376971721376, rc), max(0.00814727217617135, xvar), min(n, p), truediv(n, mcp), expit(p), add(n, 802), expit(mcp));2.0;out;10.0;xgboost;7340e2b9-8493-430a-a900-5385244f7c6e;0.9118;random_search_3000;10090.0
1.0;make_tuple(0.17967209740104575, 0.7640239040336468, mkd, 0.0036796943188191467, po, 188, xvar, 17, n);2.0;in;1.0;xgboost;eca218d9-bb47-4a8b-bc2d-490549c241b1;0.9493;random_search_3000;14965.0
1.0;make_tuple(0.17967209740104575, 0.7640239040336468, mkd, 0.0036796943188191467, po, 188, xvar, 17, n);2.0;out;1.0;xgboost;eca218d9-bb47-4a8b-bc2d-490549c241b1;0.984;random_search_3000;14965.0
1.0;make_tuple(0.05849285025669869, xvar, rc, mcp, p, po, xvar, po, n);2.0;in;1.0;xgboost;91fd7a80-a5fb-4155-91ae-04571f811fc7;0.9515;random_search_3000;41.0
1.0;make_tuple(0.05849285025669869, xvar, rc, mcp, p, po, xvar, po, n);2.0;out;1.0;xgboost;91fd7a80-a5fb-4155-91ae-04571f811fc7;0.9296;random_search_3000;41.0
1.0;make_tuple(0.05227063644670285, mkd, 0.268097488996757, rc, po, 632, xvar, p, mcp);2.0;in;1.0;xgboost;8e949abf-3e54-455c-b5cb-00921a4f6eb7;0.9503;random_search_3000;9960.0
1.0;make_tuple(0.05227063644670285, mkd, 0.268097488996757, rc, po, 632, xvar, p, mcp);2.0;out;1.0;xgboost;8e949abf-3e54-455c-b5cb-00921a4f6eb7;0.9975;random_search_3000;9960.0
1.0;make_tuple(0.08005424043917492, mcp, mkd, mcp, 119, 8, mcp, 1, po);2.0;in;1.0;xgboost;a67f052d-4651-4af5-a6c4-6d1b153d6157;0.9502;random_search_3000;9985.0
1.0;make_tuple(0.08005424043917492, mcp, mkd, mcp, 119, 8, mcp, 1, po);2.0;out;1.0;xgboost;a67f052d-4651-4af5-a6c4-6d1b153d6157;0.9854;random_search_3000;9985.0
1.0;make_tuple(0.11347317897059388, xvar, rc, mcp, 637, 35, 0.456842231538457, p, po);2.0;in;1.0;xgboost;b146fd42-0d1b-41c8-b112-1451e635b393;0.9515;random_search_3000;190412.0
1.0;make_tuple(0.11347317897059388, xvar, rc, mcp, 637, 35, 0.456842231538457, p, po);2.0;out;1.0;xgboost;b146fd42-0d1b-41c8-b112-1451e635b393;0.9157;random_search_3000;190412.0
1.0;make_tuple(0.050220908245573403, 0.09137172514397786, mkd, 0.015072364165160492, 72, po, xvar, n, 649);2.0;in;1.0;xgboost;d82c3ea2-4cbb-45c6-8cc5-616e4d6713b7;0.9533;random_search_3000;9956.0
1.0;make_tuple(0.050220908245573403, 0.09137172514397786, mkd, 0.015072364165160492, 72, po, xvar, n, 649);2.0;out;1.0;xgboost;d82c3ea2-4cbb-45c6-8cc5-616e4d6713b7;0.9405;random_search_3000;9956.0
1.0;make_tuple(0.10279503672810804, xvar, mkd, xvar, n, po, xvar, n, 0.2803871063319013);2.0;in;1.0;xgboost;a4d5ce57-f582-47d9-903a-e4e8ad9fc2f2;0.952;random_search_3000;15.0
1.0;make_tuple(0.10279503672810804, xvar, mkd, xvar, n, po, xvar, n, 0.2803871063319013);2.0;out;1.0;xgboost;a4d5ce57-f582-47d9-903a-e4e8ad9fc2f2;0.982;random_search_3000;15.0
1.0;make_tuple(0.022423212889379193, xvar, 0.03348400545821651, mkd, p, 18, xvar, n, n);2.0;in;1.0;xgboost;f163c1f2-23a9-4452-998f-dd51b946eb63;0.9507;random_search_3000;146607.0
1.0;make_tuple(0.022423212889379193, xvar, 0.03348400545821651, mkd, p, 18, xvar, n, n);2.0;out;1.0;xgboost;f163c1f2-23a9-4452-998f-dd51b946eb63;0.9866;random_search_3000;146607.0
1.0;make_tuple(0.058653535209468755, mcp, mkd, 1, p, po, xvar, m, n);2.0;in;1.0;xgboost;28cb5b2b-0c0a-4fb3-a4c3-889f68e81978;0.9508;random_search_3000;3893.0
1.0;make_tuple(0.058653535209468755, mcp, mkd, 1, p, po, xvar, m, n);2.0;out;1.0;xgboost;28cb5b2b-0c0a-4fb3-a4c3-889f68e81978;0.9981;random_search_3000;3893.0
1.0;make_tuple(0.043980006628942, mkd, mkd, mkd, 60, po, xvar, p, n);2.0;in;1.0;xgboost;c0409328-934e-4c03-98d6-1205c4f7f766;0.9529;random_search_3000;3913.0
1.0;make_tuple(0.043980006628942, mkd, mkd, mkd, 60, po, xvar, p, n);2.0;out;1.0;xgboost;c0409328-934e-4c03-98d6-1205c4f7f766;0.9555;random_search_3000;3913.0
1.0;make_tuple(0.09810398574217631, mkd, mkd, 0.0071071896448980385, 360, po, xvar, m, m);2.0;in;1.0;xgboost;548595d5-43a9-4b16-bfcb-9ff4fffd0d35;0.9528;random_search_3000;16.0
1.0;make_tuple(0.09810398574217631, mkd, mkd, 0.0071071896448980385, 360, po, xvar, m, m);2.0;out;1.0;xgboost;548595d5-43a9-4b16-bfcb-9ff4fffd0d35;0.9865;random_search_3000;16.0
1.0;make_tuple(0.05415195806220616, mcp, mcp, xvar, 5, 610, xvar, 5, mcp);2.0;in;1.0;xgboost;fad719f1-8cfe-492e-ae56-b84f769fd884;0.9514;random_search_3000;58.0
1.0;make_tuple(0.05415195806220616, mcp, mcp, xvar, 5, 610, xvar, 5, mcp);2.0;out;1.0;xgboost;fad719f1-8cfe-492e-ae56-b84f769fd884;0.9838;random_search_3000;58.0
1.0;make_tuple(0.1040183915390608, xvar, rc, 0.46127452412480097, po, 13, 1, n, 0.5669440894341795);2.0;in;1.0;xgboost;e28fe793-26bc-44aa-a8c2-b7743003ffaa;0.9552;random_search_3000;10101.0
1.0;make_tuple(0.1040183915390608, xvar, rc, 0.46127452412480097, po, 13, 1, n, 0.5669440894341795);2.0;out;1.0;xgboost;e28fe793-26bc-44aa-a8c2-b7743003ffaa;0.9034;random_search_3000;10101.0
1.0;make_tuple(0.06147393802975208, mcp, 0.11773229808430354, 0.005447876581055227, p, po, xvar, n, m);2.0;in;1.0;xgboost;5595517b-aa7f-46ce-bac4-e24da8703f1d;0.9527;random_search_3000;49.0
1.0;make_tuple(0.06147393802975208, mcp, 0.11773229808430354, 0.005447876581055227, p, po, xvar, n, m);2.0;out;1.0;xgboost;5595517b-aa7f-46ce-bac4-e24da8703f1d;0.9698;random_search_3000;49.0
1.0;make_tuple(0.10672437779674124, rc, mkd, xvar, 12, po, xvar, p, 239);2.0;in;1.0;xgboost;65a05510-e326-4eb7-9fd6-299914e020cd;0.951;random_search_3000;167119.0
1.0;make_tuple(0.10672437779674124, rc, mkd, xvar, 12, po, xvar, p, 239);2.0;out;1.0;xgboost;65a05510-e326-4eb7-9fd6-299914e020cd;0.9606;random_search_3000;167119.0
1.0;make_tuple(0.06545891562516398, 0.014015993332639348, 0.018633052318438585, 0.01824853591308831, p, n, xvar, n, po);2.0;in;1.0;xgboost;454803d2-058a-4db5-a0de-70c53984be93;0.9523;random_search_3000;146819.0
